claim_id,premise_id,claim_text,premise_text,predicted,ground_truth,error_type
639317,639321,Vending machines should be allowed in schools...,"First of all, children do NOT have that amount of free choice. Their parents are responsible for tho...",pro,con,con -> pro
639317,639323,Vending machines should be allowed in schools...,I will begin this debate my stating why what my honorable opponent said is wrong. Decision making is...,pro,con,con -> pro
639362,639363,Verbal communication is more harmful than beneficial to the world......,"Michael, I love the way you present your arguments. You've got a strong vocabulary and reasonable th...",con,pro,pro -> con
639362,639365,Verbal communication is more harmful than beneficial to the world......,"I'm going to summarize our whole debate for you. First, I created the debate topic of ""verbal commun...",con,pro,pro -> con
639362,639367,Verbal communication is more harmful than beneficial to the world......,"I seriously laughed out loud at this...when no one else is around, and that's hard to do. Bravo. I w...",con,pro,pro -> con
639663,639664,"Video game genres shouldn't be defined by mechanics, controls, or intended ""ways to play the game""...","Hmmmm..... Yeah, I'll be honest, maybe you have this one. But there's still one more round left. My ...",con,pro,pro -> con
639663,639665,"Video game genres shouldn't be defined by mechanics, controls, or intended ""ways to play the game""...","No worries, I'm new too and still haven't done by three debates! This is my second!PortalPRO's main ...",pro,con,con -> pro
639663,639666,"Video game genres shouldn't be defined by mechanics, controls, or intended ""ways to play the game""...","You have a nice argument, I'll give you that. Honestly, the only real reason I started this debate i...",con,pro,pro -> con
639663,639668,"Video game genres shouldn't be defined by mechanics, controls, or intended ""ways to play the game""...","[in a sarcastic tone] Well, the game genre naming system (or whoever started naming the genres) has ...",con,pro,pro -> con
639812,639817,Video Games are a primary source of violence...,"Thanks Dishoungh, much gratitude for that argument. I don't see anything wrong with the text script,...",con,pro,pro -> con
644747,644749,We Can Be Reasonably Confident that Abortion Entails the Killing of a Human Being...,"Again, my thanks to Rasputin for being a gracious opponent. I realize now I should have specified in...",con,pro,pro -> con
645023,645024,We don't need a president - we should just vote on laws and bills our selves....,"if we have a debate on the argument, Who would be debating? We can't just have 2 mobs yelling at eac...",pro,con,con -> pro
645894,645896,we should ban boxing as a sport professionally...,1.You said people sign up for but look at it in all ways you need to care for your citizens health. ...,pro,con,con -> pro
645894,645897,we should ban boxing as a sport professionally...,1) Plain and simple; people sign up for this. People are KNOWINGLY risking their health for somethin...,con,pro,pro -> con
645983,645990,We Should Be Concerned About Population Growth...,The resources of the earth are limited...,con,pro,pro -> con
645983,645982,We Should Be Concerned About Population Growth...,Population tends to self-regulate based upon access to birth control and education for women....,pro,con,con -> pro
646795,646798,We should Legalize Marijuana...,I will try not to repeat things don't worry! Thank you for accepting and good luck to you as well. W...,pro,con,con -> pro
646795,646800,We should Legalize Marijuana...,As I am relatively new to this site I will try my best to use proper etiquette but I am truly sorry ...,pro,con,con -> pro
646987,646990,We should not be afraid of advanced robotics playing a vital part in our future lives....,"We have indeed tried to enslave this planet, and the planet is fighting back at us, global warming? ...",pro,con,con -> pro
646987,646992,We should not be afraid of advanced robotics playing a vital part in our future lives....,"Everything works to a certain extend, as of right now, humanity could be experiencing the full poten...",pro,con,con -> pro
646987,646994,We should not be afraid of advanced robotics playing a vital part in our future lives....,"Robots are everywhere, they are everywhere around us, but not intelligent robotics, intelligent to a...",pro,con,con -> pro
648007,648006,Weapons not made for hunting should be outlawed for civilian use...,"Thank you for responding. ""My dad keeps a pistol in his glove compartment for defense. It certainly ...",con,pro,pro -> con
648007,648011,Weapons not made for hunting should be outlawed for civilian use...,I apologize that I may have shifted a bit. It would have been fine had my opponent ignored the full ...,con,pro,pro -> con
648007,648012,Weapons not made for hunting should be outlawed for civilian use...,"""I would, however, be happy to ban the use of guns within cities. I would have included that in the ...",pro,con,con -> pro
648969,648973,western universities should only place satellites in states that respect free speech...,Universities should exchange ideas not impose them...,pro,con,con -> pro
649110,649112,What are all the Political Ideologies and convince me to have the same political ideology as you....,I will use this round to explain the main ideologies. 1. Conservatism Conservatism—generally referre...,pro,con,con -> pro
645650,645649,We send people to prison AS punishment - not FOR punishment...,"First thing's first, my intention of the previous paragraph was not to compare prison systems around...",pro,con,con -> pro
645650,645651,We send people to prison AS punishment - not FOR punishment...,"Hello again, I: Couple things.. I'm NOT comparing our prison system to anything OTHER than our OWN s...",con,pro,pro -> con
645650,645652,We send people to prison AS punishment - not FOR punishment...,"To put it quite simply, you're making our legal system sound worse than it is. Millions of people ar...",pro,con,con -> pro
645650,645653,We send people to prison AS punishment - not FOR punishment...,"Hello I: Thank you for taking me on.. I'm sorry that I didn't explain my position better, and in the...",con,pro,pro -> con
645650,645654,We send people to prison AS punishment - not FOR punishment...,"I believe the American legal system is fine just the way it is. As far as I can see, this is the mos...",pro,con,con -> pro
645650,645657,We send people to prison AS punishment - not FOR punishment...,"Hello again, I: Whether the disadvantaged throughout the world would be HAPPY in our prisons is simp...",con,pro,pro -> con
645692,645693,We should abandon the practice of printing books and resort to using E-books...,*First off I would like to point out that Con's first point in his rebbuttal is not a rebuttal but a...,con,pro,pro -> con
645692,645695,We should abandon the practice of printing books and resort to using E-books...,"I shall now proceed to my rebuttal, followed by an addendum.________________________________________...",con,pro,pro -> con
645713,645712,We should abolish the death penalty in the US...,"Keeping people ""deserving"" of capital punishment in prison will solve the problem. It is not only a ...",con,pro,pro -> con
645713,645714,We should abolish the death penalty in the US...,I take this challenge. I agree with your point. The United States should abolish the death penalty i...,pro,con,con -> pro
645747,645748,We should all be vegans...,"Eating humans is different than eating cows. Because of what the world has become, humans are more c...",pro,con,con -> pro
645747,645751,We should all be vegans...,"Yes, our bodies can handle COOKED meat. However, we are not omnivores. We sweat, we do not pant. Our...",con,pro,pro -> con
645505,645509,We need to increase government spending and lower taxes...,The very idea of this debate is near impossible. It is nearly impossible to both increase governemnt...,pro,con,con -> pro
645450,645449,We need to eat fish for their EPA and DHA omega-3s and optimal health...,"Yes, I will agree grass fed beef does have mostly ALA, but it does contain both DHA and EPA. ""Most o...",pro,con,con -> pro
645450,645452,We need to eat fish for their EPA and DHA omega-3s and optimal health...,"Omega 3 fatty acids are essential fatty acids. The human body is not able to create them, and theref...",pro,con,con -> pro
645450,645454,We need to eat fish for their EPA and DHA omega-3s and optimal health...,"I accept your terms. I will debate you from the stance of Con to the topic,""we need to eat fish for ...",pro,con,con -> pro
645235,645234,We must fight Christian extremests from making America a theocracy...,"Please show me this Huffington post article, I would really, really, really like to see it. Secondly...",pro,con,con -> pro
645235,645238,We must fight Christian extremests from making America a theocracy...,"""That's Catholic. The rest of the Christians go by the Bible, which says god created the world in 7 ...",pro,con,con -> pro
645140,645143,We humans are over dependent on our own electronic technology...,I accept your challenge. First of all let me give a basic introduction on what technology is. Techno...,pro,con,con -> pro
645102,645103,We have free will....,"If we simply take a look at the dimensions in which we live, you can see that free will and choice a...",pro,con,con -> pro
645102,645105,We have free will....,"I really do not get your argument. You start by saying we have free will, then prove it by saying it...",pro,con,con -> pro
645102,645106,We have free will....,By a forking path I mean that there are multiple possibilities. If determinism is true then there is...,con,pro,pro -> con
642462,642461,Walt Disney is Cryogenically Frozen (and will be thawed in the near future)...,"Now that Round 2 is over, the debate will now continue into the negative cross examination and rebut...",con,pro,pro -> con
642462,642467,Walt Disney is Cryogenically Frozen (and will be thawed in the near future)...,YouTube video & “scientists are capable of preserving human bodies in ice with very minimal damage.”...,pro,con,con -> pro
641942,641943,Voting age limit should be reduced to 15-16...,"As for interest in politics, those not interested may not vote either, and the same case is for most...",con,pro,pro -> con
641333,641332,Violin is one of the hardest instruments to master....,My opponent has misinterpreted the premise of the argument. The proposition is that Violin is ONE of...,con,pro,pro -> con
626757,626758,THW abolish patents...,"Hello, Unimag8nitiv, and welcome to Debate.org! Firstly, my opponent has stated that if a poor worke...",con,pro,pro -> con
626757,626759,THW abolish patents...,"Hello, this is my first debate on this website, so here goes nothing; Patents and copyrights have st...",pro,con,con -> pro
626762,626765,THW abolish the death penalty...,"I thank sir for his first rebuttals, I will be defending today, and arguing. toowings4u: If our worl...",pro,con,con -> pro
626762,626766,THW abolish the death penalty...,"Are resources more important than lives? No, definitely not! If our world treasure resources more im...",con,pro,pro -> con
626762,626767,THW abolish the death penalty...,"Sir, the global poor struggle to survive everyday, looking for food, shelter and water. And yet, pro...",pro,con,con -> pro
626798,626799,THW ban abortion at all stages of pregnancy...,"Before I move onto my own arguments, a few pieces of rebuttals: 1.) Suffering of Fetuses. We both ag...",con,pro,pro -> con
626813,626816,THW ban boxing...,"First I'll respond to Pro. 1. Boxing is Barbaric Boxing is a violent sport, but violence isn't going...",pro,con,con -> pro
626852,626853,THW ban religion...,"1. Religious organizations brain wash there children from an early age. Thus, they don't allow for f...",con,pro,pro -> con
626852,626856,THW ban religion...,"IntroductionIn developed western nations like the United States, the ideal that one is free to belie...",pro,con,con -> pro
626885,626889,THW believes that eating meat is better than eating vegetables...,Please provide rebuttals in each of the rounds. The last round will be the clashes. I will first sta...,pro,con,con -> pro
626934,626936,THW implement mandatory military service...,"Although I am unclear as to the entity being referenced, I contest that such an entity should not im...",pro,con,con -> pro
626934,626938,THW implement mandatory military service...,Though I still contend freedom (especially from the very real risk of death) is the foundation of a ...,pro,con,con -> pro
626965,626967,THW Limit the numer of vihicle(s) in every household...,"Well, if you limit the number of vehicles per household you still do nothing to limit traffic. Each ...",pro,con,con -> pro
626965,626969,THW Limit the numer of vihicle(s) in every household...,There are many aspects of your position that are incorrect. First is that limiting the number of veh...,pro,con,con -> pro
626974,626976,THW Make Gym Class Mandatory Throughout High School....,"Alright thanks for accepting. Yes, that's what I meant, I was unaware that it was at the discretion ...",con,pro,pro -> con
626974,626977,THW Make Gym Class Mandatory Throughout High School....,"Currently the option of mandating gym classes is left up to the discretion of school districts, and ...",pro,con,con -> pro
626994,626998,THW make vaccines mandatory...,The concept of herd immunity is based on many false assumptions - 1. Humans are not herd animals for...,pro,con,con -> pro
627006,627009,THW not provide healthcare to smokers...,"This round, I'll post my constructive case and rebut Pro's single contention. == NEG CASE ==C1) Goal...",pro,con,con -> pro
